dataset,subset,model,metric,estimate
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,bias,0.8329856946759259
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,calibration_intercept,-3.417993588454835
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,calibration_slope,1.5206455382878188
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,n,864.0
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,mae,0.8799611702671868
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,rmse,1.090439354540208
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,rae,0.8772563271461219
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,pearson,0.40601577514675563
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,spearman,0.43477442992183896
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,bias,0.11270239305909456
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,calibration_intercept,-1.0747149514913643
nested_development,"similarity_stratum:(0.4,0.5]",affine_frozen_nesso,calibration_slope,1.226637349347659
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,n,864.0
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,mae,0.6792981600135933
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,rmse,0.9244963826829615
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,rae,0.6772101190666197
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,pearson,0.6536537832265092
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,spearman,0.6632293431868764
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,bias,0.22966223051150647
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,calibration_intercept,-0.37449017391399564
nested_development,"similarity_stratum:(0.4,0.5]",fine_tuned_nesso,calibration_slope,1.0332046092560634
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,n,864.0
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,mae,0.5187563939945383
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,rmse,0.7217282217345297
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,rae,0.5171618296987314
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,pearson,0.7942792447174756
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,spearman,0.7782271655888282
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,bias,0.06660612650323161
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,calibration_intercept,-0.07992776540549713
nested_development,"similarity_stratum:(0.4,0.5]",nested_2d_lightgbm,calibration_slope,1.0031728569129839
nested_development,"similarity_stratum:(0.5,0.6]",mean,n,270.0
nested_development,"similarity_stratum:(0.5,0.6]",mean,mae,1.0706107191986403
nested_development,"similarity_stratum:(0.5,0.6]",mean,rmse,1.2753230965433704
nested_development,"similarity_stratum:(0.5,0.6]",mean,rae,0.9903100248388665
nested_development,"similarity_stratum:(0.5,0.6]",mean,pearson,-0.1550151628422762
nested_development,"similarity_stratum:(0.5,0.6]",mean,spearman,-0.13015209420792398
nested_development,"similarity_stratum:(0.5,0.6]",mean,bias,0.28665895886840986
nested_development,"similarity_stratum:(0.5,0.6]",mean,calibration_intercept,33.69783085728272
nested_development,"similarity_stratum:(0.5,0.6]",mean,calibration_slope,-6.910197165789532
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,n,270.0
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,mae,1.122060973333333
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,rmse,1.4638893009655616
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,rae,1.0379012748949386
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,pearson,0.44533571568811686
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,spearman,0.44783297238587605
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,bias,0.9369174755555555
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,calibration_intercept,-3.5494930697425287
nested_development,"similarity_stratum:(0.5,0.6]",frozen_nesso,calibration_slope,1.5281614707455948
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,n,270.0
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,mae,0.947837764071078
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,rmse,1.1376913300904583
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,rae,0.8767456021578353
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,pearson,0.4380596673483291
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,spearman,0.4422486179668889
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,bias,0.213889883543899
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,calibration_intercept,-1.1625830863541278
nested_development,"similarity_stratum:(0.5,0.6]",affine_frozen_nesso,calibration_slope,1.2246214797519397
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,n,270.0
