split,isoform,recipe,subgroup,fold,n,mae,bias,spearman,pred_sd,y_sd
butina,CYP1A2,inhibitor_nesso,all,3,285,0.6392720088260276,-0.046044212571434116,0.5469739304431669,0.5650756751939842,1.0360617096249403
butina,CYP1A2,inhibitor_nesso,all,4,280,0.6408750474987274,-0.016894664788419663,0.4794922675762993,0.578509669423149,1.0114325093649605
butina,CYP1A2,inhibitor_nesso,MW<215,pooled,22,0.4391771126406361,0.0029365068195505994,0.4590626764539809,0.2626292120577277,0.650216347891422
butina,CYP1A2,inhibitor_nesso,MW<215,0,6,0.4165993433548511,0.07084805449051872,-0.2571428571428572,0.03724909081205208,0.5290750915710384
butina,CYP1A2,inhibitor_nesso,MW<215,1,8,0.38730962031572047,-0.01978752274982165,0.4523809523809524,0.18656211141144066,0.5247635148757049
butina,CYP1A2,inhibitor_nesso,MW<215,2,1,0.3467950815844727,-0.3467950815844727,,0.0,0.0
butina,CYP1A2,inhibitor_nesso,MW<215,3,4,0.4044862643118392,-0.2546046418895165,0.39999999999999997,0.12889517773591333,0.4606973310317941
butina,CYP1A2,inhibitor_nesso,MW<215,4,3,0.6996944388690974,0.3876762180760376,0.5,0.339368547961268,0.7639480142616965
butina,CYP1A2,inhibitor_nesso,MW>=215,pooled,1390,0.641654244682374,0.0005026499369255695,0.5239872053117793,0.5635357423836613,1.034420348233726
butina,CYP1A2,inhibitor_nesso,MW>=215,0,269,0.6710108346076943,-0.05882289818885723,0.5450122374496784,0.5663010265276835,1.0902329659053187
butina,CYP1A2,inhibitor_nesso,MW>=215,1,264,0.6072169113083626,0.061727360579736774,0.5015874361666742,0.5417835415588234,0.9600867156088162
butina,CYP1A2,inhibitor_nesso,MW>=215,2,299,0.6460592427171087,0.06094895198115353,0.5581764719085992,0.5504977066012096,1.05447077053481
butina,CYP1A2,inhibitor_nesso,MW>=215,3,281,0.642614154655411,-0.04307538083736888,0.5462747028091163,0.5672990046644201,1.0397799219405977
butina,CYP1A2,inhibitor_nesso,MW>=215,4,277,0.6402380143791926,-0.021276298898865047,0.47781031178824007,0.5802520080670365,1.0119296096113286
butina,CYP1A2,interaction,all,pooled,1412,0.7343299213818715,0.0011894269208344334,0.26072456064065547,0.28983621887933814,1.0301112449331375
butina,CYP1A2,interaction,all,0,275,0.7716555226386812,-0.0320148018089443,0.37216237269553676,0.27322791383047457,1.0821370438132905
