split,n_train,method,n_cells,wmae_cell_mean,wmae_cell_median,wmae_cell_min,wmae_cell_max,weighted_error_sum,weight_sum,raw_mae,bias,fit_seconds_mean,fit_seconds_median,fit_seconds_sum,coverage80,coverage90,width90,wmae_pooled
chemical_cluster,100,weighted_mean,50,0.6652699563372131,0.6589572995874513,0.6131293345371154,0.7714132183884449,147665.03439854016,221956.86511208978,0.8900981984202475,0.41834918316215874,0.0033437857589160556,0.003163206496537896,0.1671892879458028,0.8181462635267581,0.9053444232611011,4.78309441608067,0.6652870787482436
chemical_cluster,250,dual_head,50,0.5641574865226728,0.5666877681427495,0.5186786437676445,0.6104018283572582,125197.80368492672,221956.86511208978,0.7532341989901138,0.3994081458788702,3.9810226933388915,4.032969643498291,199.05113466694456,0.8087050115016603,0.9043388559204462,3.832610056177775,0.5640636689552312
chemical_cluster,250,head_lora,50,0.5808781948755682,0.5850510338675711,0.553439993902303,0.6034992645163498,128913.03752095073,221956.86511208978,0.7897626070453875,0.44253055719489204,1.5093975782400957,1.5205914760008454,75.46987891200479,0.806636323765026,0.9069106182254326,4.115793952814738,0.5808022088248936
chemical_cluster,250,head_pretrained,50,0.5641723372497011,0.5666299749216921,0.5184894262725652,0.6105273806548819,125201.0131154614,221956.86511208978,0.7538657809043872,0.3989679860193817,2.0260600479805726,2.0566508429983514,101.30300239902863,0.8098404983754465,0.9045777055753963,3.8490746509552003,0.5640781286590708
chemical_cluster,250,head_random,50,0.5612058111072592,0.564993089800637,0.5062297612365336,0.5931269206848313,124544.97411011433,221956.86511208978,0.7467088539268397,0.3775233629800024,1.9134256640401146,1.9454426805004914,95.67128320200572,0.8090617419868782,0.9032909069752871,3.795345264561971,0.5611224237070488
chemical_cluster,250,morgan_knn,50,0.6152650794342288,0.6135523610754083,0.5718211404113731,0.6516820311259411,136541.24600907217,221956.86511208978,0.7990712128736257,0.3681752209819053,0.06447381809965008,0.05751770050119376,3.2236909049825044,0.8080726439497685,0.9080811023692525,4.122631426605635,0.6151701860634853
chemical_cluster,250,morgan_lightgbm,50,0.6074230829813819,0.5996709058313079,0.573101735702444,0.6660479728097075,134800.6435514068,221956.86511208978,0.8195491610395009,0.41343704569585193,0.14845026579940168,0.1474140499922214,7.422513289970084,0.8129197658494669,0.9070902141904531,4.34950417619095,0.6073281107269718
chemical_cluster,250,morgan_ridge,50,0.6108298848296282,0.6056354358663163,0.5721483585723579,0.6722724559124627,135568.10088683962,221956.86511208978,0.793174550976496,0.31860657755292976,0.15034029564085358,0.1501647880049859,7.517014782042679,0.8098989465016156,0.9099023925243683,4.131966400044379,0.6107857975844846
chemical_cluster,250,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208978,0.9149922251561944,0.713037645175738,0.0032081608603039056,0.003053821001230972,0.1604080430151953,0.8068157407158776,0.9094535144956722,4.850505941772461,0.628051182696441
chemical_cluster,250,repr_mlp,50,0.9547781277968957,0.7505524282155257,0.6388750194939893,8.38536132273212,212359.1015255373,221956.86511208978,1.5185451431243888,0.46241644060822845,0.5851341677996971,0.5785527615007595,29.25670838998485,0.8003626379527939,0.8981437125748504,3.8342627331703905,0.9567584287978407
chemical_cluster,250,repr_ridge,50,0.6518939663714999,0.5989156040200199,0.5570596165392689,1.8785042719614249,144799.79031086518,221956.86511208978,0.9355944325150171,0.1736787983124635,0.06607701445987914,0.06365479699525167,3.303850722993957,0.8062822784923427,0.9005416968753077,3.8012972792278577,0.6523780656108126
chemical_cluster,250,scalar_ridge,50,0.5939021984686833,0.5937083812064672,0.5586521329957854,0.653415866133026,131800.86892234682,221956.86511208978,0.7729997984801042,0.32341208613778777,0.009530079460382694,0.009299200004534214,0.4765039730191347,0.810704465508445,0.9041306624419323,3.9008611817993706,0.5938129863916868
chemical_cluster,250,weighted_mean,50,0.6568512250159455,0.658436244739393,0.6175534152122966,0.7341765844116606,145786.21765605733,221956.86511208978,0.8868723672885821,0.4335747803796802,0.0034683549608598694,0.0032837649996508844,0.17341774804299348,0.8049344360606142,0.9106811041593942,4.840877551608933,0.656822295550238
chemical_cluster,500,dual_head,50,0.5404168851245299,0.5446379398290153,0.5069566247804993,0.574758762726345,119922.95937125255,221956.86511208978,0.7113517884152659,0.368189854827948,7.401598521200649,7.348650692500087,370.07992606003245,0.7985943807452359,0.9044584373853191,3.532739732996623,0.540298491378902
chemical_cluster,500,head_lora,50,0.5632590506120845,0.5676412010820483,0.5355205394870158,0.5831769020046501,124993.31053960399,221956.86511208978,0.7580501098391076,0.41272086574261535,2.651633288900266,2.649911106003856,132.5816644450133,0.797097016728874,0.9014368572272495,3.7986272882461547,0.5631423496474484
chemical_cluster,500,head_pretrained,50,0.5401831500196523,0.5435013771155596,0.5017689313089552,0.5702602433312278,119875.79774769639,221956.86511208978,0.7097737660535693,0.36014574428035756,3.7332630386392704,3.7472831864997715,186.6631519319635,0.7966800032222551,0.9037117245329968,3.511961650848389,0.5400860103478136
chemical_cluster,500,head_random,50,0.5390212209628682,0.5381496095421002,0.5045196393718799,0.5961562420327767,119612.32450733027,221956.86511208978,0.7039676826141996,0.3393796986747422,3.468656949740689,3.5260712139970565,173.43284748703445,0.7986247236468766,0.9050272101536837,3.478161136118571,0.5388989633049881
chemical_cluster,500,morgan_knn,50,0.6020457226993818,0.599554008275379,0.565296552837891,0.6500557570904003,133607.37462563568,221956.86511208978,0.7685213211518251,0.3292842973371252,0.13357919976006088,0.13620354399972712,6.678959988003044,0.7896843532665611,0.8934543021580158,3.675238776852886,0.6019519808867503
chemical_cluster,500,morgan_lightgbm,50,0.5885269338187417,0.5875995630731963,0.5518089056036795,0.6334956690838208,130601.41890299898,221956.86511208978,0.8126332894429433,0.45571781165784997,0.2569752287202573,0.25619150950660696,12.848761436012865,0.7932475407928536,0.9085849825013649,4.353158982038418,0.5884090083766697
