outer_fold,candidate,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope,inner_best_epochs
1,e2_lr0.001_wd0,0.001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6354893623339594,0.8665994223501748,0.6757912019324862,0.6596193227273138,0.6269840815747608,0.09657653491421064,-0.2461955153311625,1.0342304300490166,18;13;22;16
1,e2_lr0.001_wd0.0001,0.001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6351641954605622,0.8654414240475691,0.6754454134343206,0.661176054580347,0.6273744283222538,0.0989620865985813,-0.27410847702272717,1.0400488355342086,23;13;22;16
1,e2_lr0.001_wd0.001,0.001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6362872851992121,0.8692807583787269,0.6766397279411327,0.6573957004606469,0.6253591883721337,0.10259835327130395,-0.19428081202135483,1.0209466223260477,18;13;22;16
1,e2_lr0.003_wd0,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6377085837200221,0.8690383724653529,0.6781511632107263,0.6591574401258419,0.627232446930969,0.11119480127833498,-0.30511907181127257,1.0442188851378837,12;13;10;11
1,e2_lr0.003_wd0.0001,0.003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6372131535704804,0.8626429693142192,0.6776243135794393,0.6621945477301674,0.6299568537014186,0.08247961359950769,-0.2482769775803748,1.0380545170194013,12;18;10;11
1,e2_lr0.003_wd0.001,0.003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6376315376162327,0.8695851702482118,0.6780692309516357,0.660990440234166,0.6300552009225129,0.12449722356118673,-0.4015282847781433,1.0629779853733283,12;23;10;7
1,e2_lr0.01_wd0,0.01,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.636989958752964,0.8600543513397941,0.6773869640612028,0.6642588106178177,0.6307501738667415,0.07083698062486522,-0.3190841802619267,1.0571314248111163,12;13;14;5
1,e2_lr0.01_wd0.0001,0.01,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6320097669214645,0.8603114584189298,0.6720909354836311,0.6701801304866879,0.6366348211150807,0.12205911836124812,-0.43603513867935884,1.0714163346481187,11;13;14;14
1,e2_lr0.01_wd0.001,0.01,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.636147019219267,0.8666168955428291,0.6764905664904528,0.6603588143810772,0.6235017843654256,0.10559518381047255,-0.16794212602856126,1.0142346127435529,14;12;14;7
1,e2_lr0.03_wd0,0.03,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6375508778889402,0.8650154758356391,0.677983455898133,0.6598283684728734,0.6278266196268334,0.08631528866972664,-0.15071941496064378,1.0147693067182681,10;13;14;7
1,e2_lr0.03_wd0.0001,0.03,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6418049162985922,0.8800641463835472,0.6825072794274007,0.6565949176591827,0.6247205727365953,0.1647377179416742,-0.37052771691856873,1.0463585370495165,10;13;11;7
1,e2_lr0.03_wd0.001,0.03,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6397500923037328,0.8737117809022148,0.6803221413911861,0.6580890882097482,0.6221417103689699,0.13803679648194142,-0.29012032267627136,1.0344673406524652,11;12;11;7
1,e2_lr0.1_wd0,0.1,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6532378630295891,0.8903585962409829,0.6946652875246476,0.636698429786148,0.6024979630981903,0.11149411766675929,-0.21595902765880653,1.023818610189788,10;13;16;13
1,e2_lr0.1_wd0.0001,0.1,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7117019410628938,0.9717921512558513,0.7568370749781703,0.5525824558427695,0.5421353500429007,0.17713742865927648,-0.4924687626465614,1.070837163622007,14;12;17;1
1,e2_lr0.1_wd0.001,0.1,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6436127914951025,0.8659237166537413,0.6844298075205644,0.6573741525699568,0.6219941208016565,0.060380897647998116,-0.27457690972456994,1.0494138171712455,10;12;16;13
1,e3_floor0.1_curation0,0.01,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,False,42,2675.0,0.6993879704293602,0.9778416314785477,0.7437421696843445,0.6080309109501766,0.6077469726812739,0.34930275564229163,-0.9975427886131791,1.1402005942560847,14;17;7;12
1,e3_floor0.1_curation1,0.01,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,True,42,2675.0,0.7657449811691235,1.0682199791220996,0.8143074485110033,0.5499629772573182,0.552433925738953,0.45403435969254463,-1.8189484540799563,1.2886634384335873,1;8;7;6
1,e3_floor0.15_curation0,0.01,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,False,42,2675.0,0.6892596177489757,0.9452356589851163,0.7329714911534957,0.6014986744423136,0.585536409158289,0.21904657670618002,-0.9035967788118998,1.1523455408751366,3;17;7;6
