task,budget,fold,method,epoch,weighted_huber
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,16,0.35910249279169904
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,17,0.3577288209467895
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,18,0.3561840665183382
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,19,0.354608506974156
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,20,0.3531270514780669
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,21,0.35180523365891503
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,22,0.35060795171668824
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,23,0.34943623782926636
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,24,0.34816787957011996
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,25,0.34674380093101753
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,26,0.3451837840587836
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,27,0.34356011580506784
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,28,0.34195947192031184
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,29,0.34041314605343587
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,30,0.33891877420859373
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,31,0.33742149627917684
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,32,0.3358478102656024
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,33,0.33414753806351793
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,34,0.33236562651227664
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,35,0.3305477306479156
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,36,0.3287498658675999
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,37,0.3270064049976855
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,38,0.32532114891770103
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,39,0.32367847248916237
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,40,0.3220135243362101
fold2__draw0__n100__head_only__seed42,100,2,head_only,1,0.4362937116001522
fold2__draw0__n100__head_only__seed42,100,2,head_only,2,0.42719764977877617
fold2__draw0__n100__head_only__seed42,100,2,head_only,3,0.4212207140773785
fold2__draw0__n100__head_only__seed42,100,2,head_only,4,0.41798300112418474
fold2__draw0__n100__head_only__seed42,100,2,head_only,5,0.41666913801554983
