scope,outer_fold,objective,delta,objective_label,learning_rate,candidate,candidate_order,global_candidate_order,native_loss,best_epochs,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
outer_training,4.0,huber,0.25,huber_0.25,0.01,huber_0.25_lr0.01,3,13,0.13653550297021866,12;5;13;6,2676.0,0.6323495877222117,0.8672400313459757,0.7160923060478078,0.6209571008040398,0.6104589702971309,0.05884808597846023,-0.20036172344049372,1.0320976890026088
outer_training,4.0,huber,0.25,huber_0.25,0.03,huber_0.25_lr0.03,4,14,0.13666823506355286,5;19;13;8,2676.0,0.6307011074786429,0.8649269884088884,0.7142255158387028,0.6315641689461245,0.6069060257542547,0.11146593817449078,-0.5358279700137547,1.0951173050020888
outer_training,4.0,huber,0.5,huber_0.5,0.0003,huber_0.5_lr0.0003,0,15,0.22603729367256165,29;20;27;26,2676.0,0.6296619146452912,0.8664044685778093,0.7130487016098144,0.631548671690316,0.607144044319054,0.11857246980306956,-0.5982192231522644,1.107337951046537
outer_training,4.0,huber,0.5,huber_0.5,0.001,huber_0.5_lr0.001,1,16,0.2240440770983696,18;18;18;18,2676.0,0.6227424921321248,0.8566393858040052,0.7052129327247256,0.6472549978788031,0.6199916536835466,0.12438819584949633,-0.885576283182354,1.170121388561451
outer_training,4.0,huber,0.5,huber_0.5,0.003,huber_0.5_lr0.003,2,17,0.2241201438009739,12;19;18;5,2676.0,0.6270454121086828,0.8538236175067784,0.710085692901342,0.6417837557716464,0.6135258821875154,0.08339260798879589,-0.6225734991562987,1.1216182924157128
outer_training,4.0,huber,0.5,huber_0.5,0.01,huber_0.5_lr0.01,3,18,0.2270716093480587,18;5;9;6,2676.0,0.6325533242241705,0.8633305137707045,0.716323023588147,0.6317183713629454,0.6035332415417891,0.09254827950335547,-0.5941455148399937,1.1129077046935207
outer_training,4.0,huber,0.5,huber_0.5,0.03,huber_0.5_lr0.03,4,19,0.23859737440943718,9;7;13;10,2676.0,0.6352711153766343,0.8582900236349504,0.7194007346699783,0.6328109818486005,0.6063759641450309,0.04922072807359551,-0.49623802002430306,1.1016129774022845
outer_training,4.0,huber,1.0,huber_1,0.0003,huber_1_lr0.0003,0,20,0.32301823049783707,30;20;30;30,2676.0,0.6252632524423736,0.8560680815838734,0.7080675199635058,0.6415664494196129,0.6152589054129591,0.09694671445666014,-0.6905268703006854,1.1334805686428364
outer_training,4.0,huber,1.0,huber_1,0.001,huber_1_lr0.001,1,21,0.3121103197336197,21;28;22;23,2676.0,0.6128877245850649,0.8403514654708927,0.6940530879879574,0.6601893563578303,0.6299693668603902,0.11059662314041989,-0.6882430214185977,1.1294999846308054
outer_training,4.0,huber,1.0,huber_1,0.003,huber_1_lr0.003,2,22,0.32904524356126785,11;7;8;7,2676.0,0.6342587668751408,0.8621212712310016,0.7182543197959372,0.6322869225546385,0.6042396190987547,0.08772982326982766,-0.5689370501980505,1.108435599394345
outer_training,4.0,huber,1.0,huber_1,0.01,huber_1_lr0.01,3,23,0.3224831894040108,14;9;9;7,2676.0,0.6281121831683322,0.8550244394288512,0.7112937375699264,0.6377895364949222,0.6100665786767905,0.07860064989550908,-0.41740001055717685,1.0765026828122453
outer_training,4.0,huber,1.0,huber_1,0.03,huber_1_lr0.03,4,24,0.3301738053560257,9;9;8;7,2676.0,0.630306101407173,0.8673488163485874,0.7137781986993958,0.6413040804029345,0.6111508800599519,0.14743345710496872,-1.0365275205379711,1.1976894793097
outer_training,4.0,huber,2.0,huber_2,0.0003,huber_2_lr0.0003,0,25,0.3839907944202423,29;20;30;30,2676.0,0.6311235726027589,0.8534892313019785,0.7147039284617626,0.6431792471407728,0.6141277912452601,0.06404016034075459,-0.803144090850568,1.167444094914407
outer_training,4.0,huber,2.0,huber_2,0.001,huber_2_lr0.001,1,26,0.37578973919153214,21;15;26;15,2676.0,0.6197174298305348,0.8454775222351645,0.7017872582536046,0.6523830071821418,0.6237142548303162,0.0945239528781074,-0.6520170956552725,1.1254338866348177
outer_training,4.0,huber,2.0,huber_2,0.003,huber_2_lr0.003,2,27,0.3865729868412018,14;14;19;9,2676.0,0.624605087601909,0.8522640225392343,0.707322193663752,0.6551835968927507,0.626519180630232,0.1233451088638384,-1.0769391610958674,1.2131727687250464
outer_training,4.0,huber,2.0,huber_2,0.01,huber_2_lr0.01,3,28,0.391852967441082,21;3;15;10,2676.0,0.6288842982228405,0.8599253154430575,0.7121681046299394,0.632522141743347,0.6063399351012173,0.08983691321484674,-0.2852268745762713,1.0440084254537882
outer_training,4.0,huber,2.0,huber_2,0.03,huber_2_lr0.03,4,29,0.3930068090558052,10;4;15;7,2676.0,0.633133225290054,0.8641482156689118,0.716979721559666,0.6306793649878443,0.6067466079362246,0.08937541939698847,-0.613147988139763,1.1179835549705777
full_development,,mse,,mse,0.0003,mse_lr0.0003,0,0,0.7997088952604948,15;17;22;16;21,3344.0,0.6399176272326411,0.8612875334678097,0.6932854613189391,0.6599584091584207,0.6314490108257069,0.08104723969529518,-0.7948852490846037,1.163069060912573
full_development,,mse,,mse,0.001,mse_lr0.001,1,1,0.7792203298382212,10;17;11;18;15,3344.0,0.6292122893831108,0.8474564385882327,0.6816873199742742,0.6722724987140748,0.6408704882058898,0.08406529264971797,-0.6630554440721517,1.1321733079428675
full_development,,mse,,mse,0.003,mse_lr0.003,2,2,0.7773996435783126,7;11;8;8;14,3344.0,0.6339961195780631,0.8538072363528549,0.6868701119187964,0.6650936631099801,0.6338481753054773,0.08565515307818132,-0.5933770002130936,1.1158619520381932
