PC,eigenvalue,explained_variance_fraction
368,8.086773578342222e-05,7.168774349851132e-07
369,8.066365907529899e-05,7.150683329292402e-07
370,8.026687202623161e-05,7.115508895482046e-07
371,7.93995473105839e-05,7.038622172807144e-07
372,7.863966454904756e-05,6.971259979504429e-07
373,7.732012773531611e-05,6.854285495523619e-07
374,7.592614405088826e-05,6.730711434939052e-07
375,7.567147525373422e-05,6.708135519797385e-07
376,7.46521392312572e-05,6.61777327753821e-07
377,7.410375631737134e-05,6.569160152305051e-07
378,7.359100414599733e-05,6.523705626116498e-07
379,7.235965266567949e-05,6.414548607903515e-07
380,7.226089844443708e-05,6.405794229889542e-07
381,7.194862067253257e-05,6.378111386298457e-07
382,7.152260403165297e-05,6.340345803545817e-07
383,7.077226839705047e-05,6.273829945286553e-07
384,6.91327358417162e-05,6.128488434057601e-07
385,6.772952171081776e-05,6.004096111563573e-07
386,6.758509506759518e-05,5.991292958299309e-07
387,6.71902003870616e-05,5.956286279439356e-07
388,6.66184858170956e-05,5.905604846295427e-07
389,6.541169703486186e-05,5.798625265576923e-07
390,6.488857554841827e-05,5.752251518896091e-07
391,6.40444563915008e-05,5.677421925836452e-07
392,6.355101256002374e-05,5.633679048063062e-07
393,6.246483720256047e-05,5.537391623089563e-07
394,6.216705274729682e-05,5.510993585058725e-07
395,6.132989552744789e-05,5.436781154769859e-07
396,6.045672757191329e-05,5.359376439748376e-07
397,6.0231513969182074e-05,5.339411672800763e-07
398,5.955462745093575e-05,5.279406942078984e-07
399,5.879741947596855e-05,5.212281863630078e-07
400,5.8303955259129916e-05,5.168537178732305e-07
401,5.806862415146301e-05,5.147675513792375e-07
402,5.718773421924102e-05,5.069586259901707e-07
403,5.61183214730464e-05,4.974784809235946e-07
404,5.574989217588387e-05,4.942124237381851e-07
405,5.435495005181653e-05,4.8184652129061e-07
406,5.418909165896499e-05,4.803762174903824e-07
407,5.383407710964555e-05,4.772290795492372e-07
408,5.350635012242527e-05,4.743238407701637e-07
409,5.333456551453286e-05,4.728010021759727e-07
410,5.228480847161763e-05,4.6349510126268287e-07
411,5.1902311464275505e-05,4.601043364433578e-07
412,5.139434547911577e-05,4.5560131247498243e-07
413,5.1098373503343e-05,4.5297757596543424e-07
414,5.070318884425424e-05,4.4947433747348805e-07
415,5.0445841034314046e-05,4.4719299700931275e-07
416,4.961741468477339e-05,4.398491515216228e-07
417,4.908726942444912e-05,4.351495124046255e-07
418,4.8203848666586e-05,4.273181517170254e-07
419,4.774817237695448e-05,4.232786661727604e-07
420,4.740850333842952e-05,4.202675633302897e-07
421,4.654223493431795e-05,4.1258825506807597e-07
422,4.6322752133481095e-05,4.1064258086608443e-07
423,4.6079860815380935e-05,4.0848939451292466e-07
424,4.550671206107614e-05,4.034085374211503e-07
425,4.513194214557536e-05,4.00086271833632e-07
426,4.4846292225258e-05,3.975540384256232e-07
427,4.372910666642654e-05,3.87650396261554e-07
428,4.3270738205113625e-05,3.8358704511612185e-07
429,4.310947692773372e-05,3.8215749388941084e-07
430,4.269962868429284e-05,3.7852426544985215e-07
431,4.1581161334058804e-05,3.686092604434335e-07
432,4.136062275873525e-05,3.666542269970088e-07
433,4.097488472290667e-05,3.6323473106303615e-07
434,4.0360425990572725e-05,3.5778766870037183e-07
435,3.9847852380872055e-05,3.5324379899753537e-07
436,3.926248044427895e-05,3.48054585668489e-07
437,3.91350208142985e-05,3.4692467975830933e-07
438,3.84931665381712e-05,3.4123476099594065e-07
439,3.8144597690478015e-05,3.381447630007052e-07
440,3.791418409588037e-05,3.3610218934533247e-07
441,3.752569806798097e-05,3.326583329728239e-07
442,3.730806553137063e-05,3.3072906101902074e-07
443,3.66136435439302e-05,3.2457313927432396e-07
444,3.5888389900968045e-05,3.1814390063862444e-07
445,3.570643669669078e-05,3.1653091932900865e-07
446,3.483962012885459e-05,3.088467516973437e-07
447,3.469311018287202e-05,3.0754796827947874e-07
448,3.4387653033324635e-05,3.048401474688177e-07
449,3.388365324229846e-05,3.003722830736586e-07
450,3.3100958988034536e-05,2.9343384410367167e-07
451,3.277977844419525e-05,2.90586638327424e-07
452,3.2670587073257484e-05,2.896186771354597e-07
453,3.2445133396859434e-05,2.876200722322997e-07
454,3.139614430898362e-05,2.78320979097582e-07
455,3.098594328810903e-05,2.746846233516958e-07
