dataset,cohort,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
development,lower_Emax,continuous_plus_binary_linear,272.0,0.7408634798355895,0.8666495813712654,1.6499781664388793,0.20749111789270058,0.22895622925733863,-0.564954853516591,3.404749361174346,0.35040587921806743
development,lower_Emax,continuous_plus_binary_polynomial2,272.0,0.6564594629882611,0.7984817014104171,1.462001854003103,0.244888114529048,0.24999940397678885,-0.4792258563544814,3.0101029298366115,0.4322043854929806
development,lower_Emax,mean_repr_384d_ridge,272.0,0.6093972146861695,0.7698378677405197,1.3571894502668456,0.39225989636970937,0.35066183190585626,-0.4396924766722848,2.7617768869539754,0.4836262969779967
development,lower_Emax,mean_repr_plus_readouts_386d_ridge,272.0,0.6093953660637903,0.7698627042420819,1.357185333197174,0.3921687541063682,0.35055091043453385,-0.4396622643445798,2.762325017469438,0.48350115802417365
development,lower_Emax,concat_repr_768d_ridge,272.0,0.6130483989154591,0.7783080589327309,1.3653210081367395,0.41265378657463636,0.38493298843249857,-0.4552964476276847,2.756260174745253,0.4865413427656306
development,lower_Emax,concat_repr_plus_member_readouts_772d_ridge,272.0,0.6130565362180507,0.7783082809266502,1.365339130735538,0.4126695904530772,0.3850552405917517,-0.4553027419516667,2.756218192486708,0.4865513944788256
development,lower_Emax,mean_repr_384d_mlp32_fixed,272.0,0.6623688075822943,0.8433278271847264,1.475162564206125,0.3582617891669141,0.3208987982956744,-0.49105711326879614,3.230430299753802,0.38379322629986407
development,lower_Emax,mean_repr_plus_readouts_386d_mlp32_fixed,272.0,0.6236635475675745,0.8168558986387459,1.388962021611152,0.36351442622213354,0.31098623541222886,-0.43133798967148373,3.2414663767638907,0.37625628891612983
development,lower_Emax,fine_tuned_continuous_head,272.0,0.5332567993566102,0.6933185521971861,1.1876170171577924,0.38618866439199323,0.35351328897643713,-0.3395195949778837,2.310096874600723,0.5713414991262409
development,lower_Emax,fine_tuned_dual_branch_activity_adapter,272.0,0.5142120916118809,0.6728857255819863,1.1452025199929623,0.39191395906112164,0.3550945162947776,-0.3050626818923389,2.201260710733211,0.5905898625788292
development,lower_Emax,lightgbm,272.0,0.5305703333578626,0.6985596195193012,1.181633984705177,0.5256134676632496,0.42601895739751017,-0.3865917506467088,2.287698773374356,0.582174970732824
validation,all,direct_affinity,790.0,0.8150892652680602,1.17160733597568,0.9685779009824947,0.32445132924785547,0.3121615223525384,0.6043922921222977,-0.7894498872836858,1.0368251102238555
validation,all,affinity_only_linear,790.0,0.8110075330026221,1.0112609308981693,0.9637275418396463,0.3244513292478555,0.3121615223525384,-0.10489150320738956,0.8036603324215191,0.8380990304809868
validation,all,binder_logit_only_linear,790.0,0.8211128777148072,1.000490410208071,0.9757358138008945,0.3584791862263568,0.3012317029377436,-0.1399976175415054,-0.07056005593309828,1.0491851443989744
