dataset,representation,model_class,seed,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,mean_384d,one_hidden_mlp,42,3344.0,0.635695300402469,0.900215917308538,0.6887110009826075,0.6359258148787733,0.6374561164398118,0.044708742002335454,0.9357751672389748,0.7741435136213621
nested_development,mean_384d,one_hidden_mlp,43,3344.0,0.6396094767661363,0.8979977411794717,0.6929516117276249,0.6321008711716308,0.630825787258656,0.07127102833710725,0.7893822718527942,0.8029524116443052
nested_development,mean_384d,one_hidden_mlp,44,3344.0,0.6287965966041739,0.9043903163980638,0.6812369592594765,0.6286812792101532,0.6349315665879355,0.07411412656299918,0.84990174823487,0.7885830931951893
nested_development,mean_384d,two_hidden_mlp,42,3344.0,0.6531048038663209,0.8699261769725997,0.7075724217758844,0.6533363592849316,0.6076294820937586,0.016860439014062346,0.6903762899511563,0.8360347409337417
nested_development,mean_384d,two_hidden_mlp,43,3344.0,0.6299861657823405,0.8573704263208873,0.6825257360978682,0.6697128953442433,0.6277691647424642,0.1310064234683656,0.3914623935507529,0.88199405503831
nested_development,mean_384d,two_hidden_mlp,44,3344.0,0.649248982207771,0.8677261327616885,0.7033950324002056,0.6573565636523193,0.610459399942834,-0.06383488666398275,0.7424373780043279,0.8396738448638205
nested_development,concat_768d,one_hidden_mlp,42,3344.0,0.638696933778634,0.9952512035686792,0.6919629645031378,0.5794952458652964,0.6360445150282491,0.1182796676734258,1.4243654285902787,0.6505703857350736
nested_development,concat_768d,one_hidden_mlp,43,3344.0,0.6410489375927462,0.9290612726441532,0.6945111206718346,0.6141697163285874,0.6348564135681952,0.022672011129057285,1.125933201981775,0.7340664919213922
nested_development,concat_768d,one_hidden_mlp,44,3344.0,0.6461367936535583,0.9643798300656133,0.7000232936236856,0.6043130218783896,0.6445612938546952,-0.0443482177276627,1.446951717439833,0.6701405098908982
nested_development,concat_768d,two_hidden_mlp,42,3344.0,0.6514161619696589,1.3360364202166255,0.7057429505650465,0.41739456413479004,0.6144218228398207,0.09637403583939964,2.7218897015171093,0.3584424569439003
nested_development,concat_768d,two_hidden_mlp,43,3344.0,0.6461095683322265,1.277890996010791,0.6999937977656943,0.4476494269671661,0.6265960694888195,0.09863243925328857,2.555229935778131,0.3961776796165379
nested_development,concat_768d,two_hidden_mlp,44,3344.0,0.6733225623667223,1.1806408391163654,0.7294763003882014,0.48718544734082336,0.6040768678883726,0.05741252257735364,2.2837453849674443,0.46228300161378627
retrospective_lockbox_790,member1_384d,ridge,42,790.0,0.6464533277946182,0.8440106853224607,0.768186300567386,0.6091387965869607,0.5543003056924753,-0.06128772922709018,0.21676041108931382,0.964338101596441
