false_positive_rate,true_positive_rate,score_threshold,cohort,threshold,curve,recall,precision
0.07335907335907337,0.1278162911611785,0.4501152336597442,development_all,4.0,roc,,
0.07528957528957529,0.1278162911611785,0.4495798051357269,development_all,4.0,roc,,
0.07528957528957529,0.13388214904679377,0.4430341124534607,development_all,4.0,roc,,
0.07722007722007722,0.13388214904679377,0.4420021772384643,development_all,4.0,roc,,
0.07722007722007722,0.13518197573656845,0.4405623376369476,development_all,4.0,roc,,
0.08011583011583012,0.13518197573656845,0.4401791095733642,development_all,4.0,roc,,
0.08011583011583012,0.1386481802426343,0.4374279677867889,development_all,4.0,roc,,
0.08108108108108109,0.1386481802426343,0.4373767375946045,development_all,4.0,roc,,
0.08108108108108109,0.13908145580589254,0.4372454583644867,development_all,4.0,roc,,
0.08204633204633205,0.13908145580589254,0.4361333549022674,development_all,4.0,roc,,
0.08204633204633205,0.13951473136915077,0.435637354850769,development_all,4.0,roc,,
0.08301158301158301,0.13951473136915077,0.4355408847332001,development_all,4.0,roc,,
0.08301158301158301,0.14168110918544194,0.434263527393341,development_all,4.0,roc,,
0.08687258687258688,0.14168110918544194,0.4322437644004822,development_all,4.0,roc,,
0.08687258687258688,0.14341421143847488,0.4288923144340515,development_all,4.0,roc,,
0.0888030888030888,0.14341421143847488,0.4285235106945038,development_all,4.0,roc,,
0.0888030888030888,0.14818024263431542,0.4250979721546173,development_all,4.0,roc,,
0.09073359073359073,0.14818024263431542,0.4240272343158722,development_all,4.0,roc,,
0.09073359073359073,0.15077989601386482,0.423425018787384,development_all,4.0,roc,,
0.0916988416988417,0.15077989601386482,0.4228234887123108,development_all,4.0,roc,,
0.0916988416988417,0.15294627383015597,0.4215775430202484,development_all,4.0,roc,,
0.09266409266409266,0.15294627383015597,0.4212961792945862,development_all,4.0,roc,,
0.09266409266409266,0.15684575389948008,0.4204410314559936,development_all,4.0,roc,,
0.09362934362934362,0.15684575389948008,0.4203327894210815,development_all,4.0,roc,,
0.09362934362934362,0.15814558058925476,0.4193674027919769,development_all,4.0,roc,,
0.0945945945945946,0.15814558058925476,0.4189315736293793,development_all,4.0,roc,,
0.0945945945945946,0.15901213171577122,0.4177247881889343,development_all,4.0,roc,,
0.09749034749034749,0.15901213171577122,0.4172279238700866,development_all,4.0,roc,,
0.09749034749034749,0.16074523396880416,0.4164178669452667,development_all,4.0,roc,,
0.09845559845559845,0.16074523396880416,0.416339099407196,development_all,4.0,roc,,
0.09845559845559845,0.1637781629116118,0.4136181175708771,development_all,4.0,roc,,
0.09942084942084942,0.1637781629116118,0.4128782153129577,development_all,4.0,roc,,
0.09942084942084942,0.16507798960138648,0.4122628569602966,development_all,4.0,roc,,
0.10038610038610038,0.16507798960138648,0.4120625555515289,development_all,4.0,roc,,
