model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters,dataset
affinity_only_linear,spearman,0.3121615223525384,0.24378198415038985,0.380059967953636,2000,735,validation
affinity_only_linear,bias,-0.10489150320738956,-0.18584324025311577,-0.019607261896108823,2000,735,validation
binder_logit_only_linear,mae,0.8211128777148072,0.7795270332365535,0.8656261745090956,2000,735,validation
binder_logit_only_linear,rmse,1.000490410208071,0.9502922145641249,1.053647215951893,2000,735,validation
binder_logit_only_linear,rae,0.9757358138008945,0.9209288625388969,1.0450955700274929,2000,735,validation
binder_logit_only_linear,pearson,0.3584791862263568,0.2650661504079537,0.4382164594407249,2000,735,validation
binder_logit_only_linear,spearman,0.3012317029377436,0.22260527807227307,0.3762451139897619,2000,735,validation
binder_logit_only_linear,bias,-0.1399976175415054,-0.21725286504642208,-0.05916988537352533,2000,735,validation
continuous_plus_binary_linear,mae,0.8032270598767274,0.760159973124952,0.8487330960981002,2000,735,validation
continuous_plus_binary_linear,rmse,0.9960267813174182,0.9413309180505525,1.0522751091311937,2000,735,validation
continuous_plus_binary_linear,rae,0.9544819356833053,0.900204175724173,1.0195018288207518,2000,735,validation
continuous_plus_binary_linear,pearson,0.3636326528512142,0.27604048834951445,0.44074004424293795,2000,735,validation
continuous_plus_binary_linear,spearman,0.3306748871588515,0.2595141721993191,0.3994419833013313,2000,735,validation
continuous_plus_binary_linear,bias,-0.11652160351989085,-0.1938567803937277,-0.03517950733307127,2000,735,validation
continuous_plus_binary_polynomial2,mae,0.7533563363723849,0.7117471740921917,0.7968048019662342,2000,735,validation
continuous_plus_binary_polynomial2,rmse,0.9583941360757953,0.9031114867140876,1.013486158638337,2000,735,validation
continuous_plus_binary_polynomial2,rae,0.8952201066412694,0.8382139031876167,0.9606191694457148,2000,735,validation
continuous_plus_binary_polynomial2,pearson,0.4399540154603113,0.358150781908164,0.5131851511030049,2000,735,validation
continuous_plus_binary_polynomial2,spearman,0.36605983844911005,0.29651778404310697,0.4341625852932481,2000,735,validation
continuous_plus_binary_polynomial2,bias,-0.09652134690318681,-0.1680461932955485,-0.019317566245081182,2000,735,validation
mean_repr_384d_ridge,mae,0.5963012186002129,0.5605256277331121,0.6321338971036513,2000,735,validation
mean_repr_384d_ridge,rmse,0.7886883696595698,0.7374765789837766,0.8404061560308134,2000,735,validation
mean_repr_384d_ridge,rae,0.7085900983803941,0.6511906722694529,0.7706325248003963,2000,735,validation
mean_repr_384d_ridge,pearson,0.6714380901313631,0.6176567503596578,0.7181909074844246,2000,735,validation
mean_repr_384d_ridge,spearman,0.6191128884008139,0.5648428260835782,0.6699850413610372,2000,735,validation
mean_repr_384d_ridge,bias,-0.05969531825826139,-0.11457696185287855,-0.005502955570696624,2000,735,validation
mean_repr_plus_readouts_386d_ridge,mae,0.5962993062814029,0.5605056666233857,0.6321059739441391,2000,735,validation
mean_repr_plus_readouts_386d_ridge,rmse,0.7886909951768879,0.7374609819067174,0.8403996392652324,2000,735,validation
mean_repr_plus_readouts_386d_ridge,rae,0.7085878259547619,0.6512095449623507,0.7706218390573201,2000,735,validation
