dataset,representation,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
nested_development,ridge_member2_384d,receptor_ligand_only,pearson,0.5467406503156245,0.39567004900726616,0.7122757094832307,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only,spearman,0.6646715912318882,0.6188907365792745,0.7135198223512755,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only,bias,0.016728229024640565,-0.020154053410079732,0.056971187903146606,2000,2931
lockbox_all_790,ridge_member2_384d,all_pairs,mae,0.6062774514065512,0.5673764016769748,0.6455113259738386,2000,735
lockbox_all_790,ridge_member2_384d,all_pairs,rmse,0.813821121121129,0.7443713937118326,0.8851210191197874,2000,735
lockbox_all_790,ridge_member2_384d,all_pairs,rae,0.7204449455033017,0.6623773175709307,0.7847995285456293,2000,735
lockbox_all_790,ridge_member2_384d,all_pairs,pearson,0.6503178351464596,0.5813681557001619,0.711800613002903,2000,735
lockbox_all_790,ridge_member2_384d,all_pairs,spearman,0.6103895548395794,0.5543079079318474,0.662022275780895,2000,735
lockbox_all_790,ridge_member2_384d,all_pairs,bias,-0.0765076702455931,-0.13398343868234933,-0.019099370449007974,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only,mae,0.6085060429995574,0.5714898956716659,0.6483248028279286,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only,rmse,0.8031627310807423,0.7475103795973631,0.8573504414993255,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only,rae,0.7230932009267015,0.6722200528128821,0.7852027643313703,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only,pearson,0.6680295815103352,0.615661237461355,0.7126311457175574,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only,spearman,0.6204205408194037,0.5655342585425621,0.6686695612687764,2000,735
lockbox_all_790,ridge_member2_384d,ligand_ligand_only,bias,-0.0719598898706557,-0.12854321093972143,-0.015345086676325118,2000,735
lockbox_all_790,ridge_member2_384d,receptor_ligand_only,mae,0.629579317684415,0.5700221821358047,0.7102305642057621,2000,735
