scope,budget,fold,feature,target,method,adjustment,actual_covariates,n,nuisance_rank,correlation
native_unique,unique,pooled,PC1,heavy_atoms,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.004497794627885858
native_unique,unique,pooled,PC1,prepared_formal_charge,pearson,none,,3344,1,0.13867853356914303
native_unique,unique,pooled,PC1,prepared_formal_charge,pearson,fold_potency_charge,fold;y_true,3344,6,0.17171362440201093
native_unique,unique,pooled,PC1,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.23184564065176202
native_unique,unique,pooled,PC1,prepared_formal_charge,spearman,none,,3344,1,0.19273094098877702
native_unique,unique,pooled,PC1,prepared_formal_charge,spearman,fold_potency_charge,fold;y_true,3344,6,0.22043714049589458
native_unique,unique,pooled,PC1,prepared_formal_charge,spearman,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.2366784324240159
native_unique,unique,pooled,PC1,prepared_is_charged,pearson,none,,3344,1,0.37375224916733524
native_unique,unique,pooled,PC1,prepared_is_charged,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,
native_unique,unique,pooled,PC1,prepared_is_charged,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,
native_unique,unique,pooled,PC1,prepared_is_charged,spearman,none,,3344,1,0.34625799994068945
native_unique,unique,pooled,PC1,prepared_is_charged,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.000774747375337762
native_unique,unique,pooled,PC1,prepared_is_charged,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,8.677199529525711e-06
native_unique,unique,pooled,PC1,y_true,pearson,none,,3344,1,-0.3826967328598642
native_unique,unique,pooled,PC1,y_true,pearson,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.3058286035285884
native_unique,unique,pooled,PC1,y_true,pearson,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.21497572245281532
native_unique,unique,pooled,PC1,y_true,spearman,none,,3344,1,-0.36576679812260793
native_unique,unique,pooled,PC1,y_true,spearman,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.3079366382279633
native_unique,unique,pooled,PC1,y_true,spearman,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.27238745573281253
native_unique,unique,pooled,PC1,native_cached,pearson,none,,3344,1,-0.5225959694714984
native_unique,unique,pooled,PC1,native_cached,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.42749824497699435
native_unique,unique,pooled,PC1,native_cached,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.35766023289107696
native_unique,unique,pooled,PC1,native_cached,spearman,none,,3344,1,-0.6587306673970736
native_unique,unique,pooled,PC1,native_cached,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.5963827459341086
native_unique,unique,pooled,PC1,native_cached,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.5944397849621126
native_unique,unique,pooled,PC2,MW,pearson,none,,3344,1,0.011083490491724352
native_unique,unique,pooled,PC2,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.04187318416872464
native_unique,unique,pooled,PC2,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.04187318416872464
native_unique,unique,pooled,PC2,MW,spearman,none,,3344,1,0.1326106038028987
native_unique,unique,pooled,PC2,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.045238534172344386
native_unique,unique,pooled,PC2,MW,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,0.045238534172344386
native_unique,unique,pooled,PC2,heavy_atoms,pearson,none,,3344,1,-0.008249796915241714
native_unique,unique,pooled,PC2,heavy_atoms,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.0617631604633707
native_unique,unique,pooled,PC2,heavy_atoms,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.07072760561166647
native_unique,unique,pooled,PC2,heavy_atoms,spearman,none,,3344,1,0.11437308650740727
native_unique,unique,pooled,PC2,heavy_atoms,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.027997565130728933
native_unique,unique,pooled,PC2,heavy_atoms,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.028603226179378726
native_unique,unique,pooled,PC2,prepared_formal_charge,pearson,none,,3344,1,-0.09925460710144096
native_unique,unique,pooled,PC2,prepared_formal_charge,pearson,fold_potency_charge,fold;y_true,3344,6,-0.10657138121094938
native_unique,unique,pooled,PC2,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,-0.10066638592263051
native_unique,unique,pooled,PC2,prepared_formal_charge,spearman,none,,3344,1,-0.18160628413539706
