lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90
baselines,chemical_cluster,100,native_affine,0.6348679055549767,0.8323584319188682,0.3727398540438854,0.3835178081387014,0.10697987509126816,4.209177227546642,1.5328280286415301,-2.8920545816192855,0.28384497984675033,0.25068901180348846,4.296463995424785,4.669203849468672,1.1297950743124145,0.3199864983673325,3.679033970832825,6.203947267532349,668.8,80.0,20.0,0.00392630095797358,2.0,0.6348679055549766,0.8323584319188682,0.3835178081387014,3.5567157081604006,,0.8153365018841241,3.0405326911926274,0.0,0.0,0.9084892994280499,4.3706326625823975,0.0,0.0
baselines,chemical_cluster,100,weighted_median,0.6432931418586617,0.9240057370536361,0.5991360045752141,,-6.828764285745471e-33,4.895599999999999,,,4.852578002999735e-16,0.0,4.296463995424785,4.895599999999999,1.1297950743124145,5.506706202140776e-16,4.8956,4.8956,668.8,80.0,20.0,0.004391134420584422,1.0,0.6432931418586617,0.9240057370536361,,3.2516,,0.8203878341970768,3.8144000000000005,0.0,0.02,0.9047170233523982,5.1188,0.0,0.08
baselines,chemical_cluster,250,descriptor_lightgbm_rdkit_mordred,0.5395785707900729,0.644799788241307,0.16812577610059468,0.6094214485947834,0.3750255454963702,2.8540345121230852,1.222485004062949,-1.1744396023551753,0.5616139539517429,0.5413550679354064,4.296463995424785,4.4645897715253815,1.1297950743124145,0.6345505345925445,2.732015889696509,5.555683643549359,668.8,200.0,50.0,3.272867468021868,1101.82,0.5395785707900729,0.644799788241307,0.6094214485947834,3.3599462060511986,,0.8086398503441548,2.0990205824353096,0.0,0.0,0.9139919264609795,3.0931327528707517,0.0,0.0
baselines,chemical_cluster,250,native_affine,0.62622020091081,0.8266998187347286,0.3855713886940499,0.383517850066789,0.11127970800486238,4.203576457757468,1.338591377265201,-1.969464326218322,0.2953575362293622,0.2612989306806072,4.296463995424785,4.682035384118836,1.1297950743124145,0.33267063832599075,3.6482052993774414,6.267310304641724,668.8,200.0,50.0,0.003781553779845126,2.0,0.6262202009108099,0.8266998187347286,0.383517850066789,3.5938940773010257,,0.8115386267823099,2.9085271789550786,0.0,0.0,0.9087057723118785,4.224445433044433,0.0,0.0
baselines,chemical_cluster,250,weighted_median,0.6369711628310063,0.9268514644329581,0.6272360045752139,,-4.708623930819331e-33,4.9237,,,3.7788670478754503e-16,0.0,4.296463995424785,4.9237,1.1297950743124145,4.263256414560601e-16,4.9237,4.9237,668.8,200.0,50.0,0.0036210096793365663,1.0,0.6369711628310063,0.9268514644329581,,3.279699999999999,,0.8041580068562427,3.5698000000000003,0.0,0.0,0.9110398485540131,5.2274,0.0,0.02
baselines,chemical_cluster,500,descriptor_lightgbm_rdkit_mordred,0.49558375240953234,0.5913874165290245,0.1634175286563157,0.6573926284266576,0.4443434684784519,2.5511599951313197,1.1443255546217295,-0.809387840306595,0.6245716395422519,0.5707000570357709,4.296463995424785,4.459881524081101,1.1297950743124145,0.7054188001592705,2.5263744371598933,5.578948498181611,668.8,400.0,100.0,7.908909124460479,1133.86,0.49558375240953234,0.5913874165290245,0.6573926284266576,3.325691015487428,,0.7895026986385973,1.7827512594171313,0.0,0.0,0.8965896010669243,2.5897029912803866,0.0,0.0
baselines,chemical_cluster,500,native_affine,0.6247156010160155,0.825518089888829,0.38549878130623333,0.3835178291027453,0.11029410162154765,4.207738517916279,1.3283582991558829,-1.923593466034948,0.29304267721542737,0.2593331319366222,4.296463995424785,4.6819627767310195,1.1297950743124145,0.33000439443590723,3.6560908222198485,6.256497173309326,668.8,400.0,100.0,0.003325861480261665,2.0,0.6247156010160154,0.825518089888829,0.3835178291027453,3.5869307479858397,,0.8000870456396624,2.7519309120178224,0.0,0.0,0.9051148823429374,4.157136040115357,0.0,0.0
baselines,chemical_cluster,500,weighted_median,0.635775512457126,0.9252246248386042,0.625336004575214,,-6.678319619753074e-32,4.9218,,,3.8034181593148504e-16,0.0,4.296463995424785,4.9218,1.1297950743124145,4.263256414560601e-16,4.9218,4.9218,668.8,400.0,100.0,0.004065922240260989,1.0,0.635775512457126,0.9252246248386042,,3.2778000000000005,,0.7946186103130063,3.4244,0.0,0.0,0.9075084807962551,5.153200000000001,0.0,0.0
baselines,random,-1,descriptor_lightgbm_rdkit_mordred,0.443088528791253,0.536928990534301,0.17452215561825724,0.7216902515556669,0.5230590415204481,2.22374351640004,1.1056264283269825,-0.6483165973474267,0.6883163322234773,0.580022272093639,4.2964657184361625,4.470987874054419,1.132196609555844,0.7791974770759811,2.352915869695759,5.615836033283069,668.8,2140.0,535.2,58.960145382878835,2177.0,0.443088528791253,0.536928990534301,0.7216902515556669,3.2213703203959683,,0.7988280837428282,1.6091115591757128,0.0,0.0,0.8988582923838423,2.2937181633066643,0.0,0.0
baselines,random,-1,native_affine,0.6236319947308494,0.8235118052283434,0.3810106045879862,0.38527109844750584,0.1101524827195565,4.204212091516883,1.307539029489083,-1.819435742366157,0.29086934491659355,0.25366242084835094,4.2964657184361625,4.677476323024149,1.132196609555844,0.32921275804491756,3.678012714385986,6.304142045974731,668.8,2140.0,535.2,0.005318370240274817,2.0,0.6236319947308493,0.8235118052283434,0.38527109844750584,3.7137841243743894,,0.8019695586405665,2.7113840377807623,0.0,0.0,0.900269013542422,4.033872542953491,0.0,0.0
