lane,split,n_train,method,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_mae,mae,bias,weighted_bias,weight_sum,weight_share
original,chemical_cluster,25,head_random,"novelty_[0.2,0.35)",18336,3174,1842,2181.1889450760864,689.2455105274486,False,0.59662748853394,0.7554011101699922,0.31327495693320456,0.008870342061374721,124565.70830591333,0.5612158391361617
original,chemical_cluster,25,head_random,"novelty_[0.35,0.5)",169,151,101,106.42294148260436,64.71945161864315,False,0.7671919186231924,1.0596636243120452,0.8114425692379591,0.34067716647377916,848.898610541864,0.003824610741880699
original,chemical_cluster,25,head_random,"novelty_[0.5,0.7)",14,14,10,10.030128153228299,6.812809943228162,True,1.0007249437203494,1.2670374041511898,1.0448467574800764,0.6846029646511191,47.997712727912855,0.00021624793044213196
original,chemical_cluster,25,head_random,"novelty_[0.7,1]",0,0,0,0.0,0.0,True,,,,,0.0,0.0
original,chemical_cluster,25,repr_mlp,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,1.9239760726768125,2.1140429339227134,-0.549250041072099,-0.7841882887142115,221956.86511208978,1.0
original,chemical_cluster,25,repr_mlp,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,2.4159937668675786,2.8418493752643816,0.252262758269642,0.233514058017677,36299.730764192434,0.16354407756597578
original,chemical_cluster,25,repr_mlp,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,1.8277766462821552,1.7873499212580823,-0.9090278834109395,-0.9831697138784566,185657.13434789734,0.8364559224340242
original,chemical_cluster,25,repr_mlp,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,2.969548146678961,2.9905510362547316,-1.7187724158505249,-1.7406430391362193,5565.977961432507,0.025076845262802072
original,chemical_cluster,25,repr_mlp,"novelty_[0,0.2)",14921,3044,1910,1952.5913227486642,1086.339125008473,False,2.2006517069949982,2.545852453182428,-0.48707145926534967,-0.7222643555449473,96494.26048290667,0.4347433021915154
original,chemical_cluster,25,repr_mlp,"novelty_[0.2,0.35)",18336,3174,1842,2181.1889450760864,689.2455105274486,False,1.709706447948278,1.7624696459906841,-0.6002838635254929,-0.8334322735312152,124565.70830591333,0.5612158391361617
